硬牌,,,,,,,,,,
您的點數 \ 莊家,2,3,4,5,6,7,8,9,10,A (11)
20,177,177,177,177,177,177,177,177,157,177
18,126,133,138,145,153,139,127,104,80,116
16,76,80,86,90,92,61,57,50,45,50
15,76,80,86,90,92,67,61,55,48,55
14,76,80,86,90,92,73,67,60,51,59
13,76,80,86,90,92,73,71,65,56,64
12,80,83,86,90,92,85,78,70,61,69
11,163,168,174,177,146,161,148,134,113,125
10,151,156,161,168,174,154,134,126,103,118
9,117,124,131,138,132,128,121,104,85,102
8,106,109,114,117,123,118,103,85,75,86
7,97,100,105,109,113,102,85,77,67,74
6,94,97,103,110,108,96,87,78,66,76
5,95,98,103,107,109,96,87,79,68,78
4,96,105,113,122,112,103,93,83,68,80
,,,,,,,,,,
軟牌,,,,,,,,,,
您的點數 \ 莊家,2,3,4,5,6,7,8,9,10,A (11)
"20 (A,9)",177,177,177,177,177,177,177,177,157,177
"19 (A,8)",152,154,156,158,167,177,175,141,107,139
"18 (A,7)",123,125,134,143,139,146,138,97,85,132
"17 (A,6)",108,112,115,131,124,115,100,92,79,123
"16 (A,5)",106,109,116,124,129,108,102,92,79,115
"15 (A,4)",109,113,116,124,129,114,106,96,83,106
"14 (A,3)",112,115,119,124,129,118,110,100,86,98
"13 (A,2)",137,117,121,124,129,123,115,105,90,90
"12 (A,A)",163,168,174,177,177,162,150,135,112,112
,,,,,,,,,,
,,,,,,,,,,
分牌,,,,,,,,,,
您的點數 \ 莊家,2,3,4,5,6,7,8,9,10,A (11)
16,76,80,86,90,92,61,57,50,45,55
15,76,80,86,90,92,67,55,55,48,55
14,76,80,86,90,92,73,67,60,51,59
13,76,80,86,90,92,78,71,65,56,64
12,80,83,87,90,87,85,78,70,61,69
11,136,138,141,144,127,112,114,126,113,74
10,126,129,135,136,138,138,129,122,103,78
9,116,119,124,127,132,123,113,104,85,81
8,107,109,114,118,119,109,97,85,75,86
7,97,102,105,109,107,100,88,77,73,86
6,94,98,104,103,97,92,84,76,70,68
5,98,98,103,97,92,85,79,74,68,68
